#C data file for Herring SD 30-31
#C file created using an r4ss function
#C file write time: 2024-11-17  08:56:43
#
1957 #_styr
2024 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
1 #_Nsexes
10 #_Nages
1 #_N_areas
4 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	-1	1	1	0	Fleet   	#_1
3	 8	1	1	0	BTS     	#_2
3	 8	1	1	0	COAST   	#_3
2	-1	1	1	0	Discards	#_4
#Bycatch_fleet_input
#_fleetindex	includeinMSY	Fmult	F_or_first_year	F_or_last_year	unused
4	1	3	2002	2023	999	#_4
#_Catch data
#_year	season	fleet	catch	catch_se
 1903	1	1	     2970	 0.1	#_1         
 1904	1	1	     3268	 0.1	#_2         
 1905	1	1	     3765	 0.1	#_3         
 1906	1	1	     3149	 0.1	#_4         
 1907	1	1	     2963	 0.1	#_5         
 1908	1	1	     2703	 0.1	#_6         
 1909	1	1	     4016	 0.1	#_7         
 1910	1	1	     2016	 0.1	#_8         
 1911	1	1	     2190	 0.1	#_9         
 1912	1	1	     2551	 0.1	#_10        
 1913	1	1	     2232	 0.1	#_11        
 1914	1	1	     2045	 0.1	#_12        
 1915	1	1	      768	 0.1	#_13        
 1916	1	1	      700	 0.1	#_14        
 1917	1	1	      706	 0.1	#_15        
 1918	1	1	      972	 0.1	#_16        
 1919	1	1	     2093	 0.1	#_17        
 1920	1	1	     4597	 0.1	#_18        
 1921	1	1	     4836	 0.1	#_19        
 1922	1	1	     4737	 0.1	#_20        
 1923	1	1	     3187	 0.1	#_21        
 1924	1	1	     3432	 0.1	#_22        
 1925	1	1	     2778	 0.1	#_23        
 1926	1	1	     3021	 0.1	#_24        
 1927	1	1	     4712	 0.1	#_25        
 1928	1	1	     5225	 0.1	#_26        
 1929	1	1	     6176	 0.1	#_27        
 1930	1	1	     3061	 0.1	#_28        
 1931	1	1	     3503	 0.1	#_29        
 1932	1	1	     5242	 0.1	#_30        
 1933	1	1	     7463	 0.1	#_31        
 1934	1	1	     8116	 0.1	#_32        
 1935	1	1	     7565	 0.1	#_33        
 1936	1	1	     7372	 0.1	#_34        
 1937	1	1	     6792	 0.1	#_35        
 1938	1	1	     5160	 0.1	#_36        
 1939	1	1	     3133	 0.1	#_37        
 1940	1	1	      646	 0.1	#_38        
 1941	1	1	      361	 0.1	#_39        
 1942	1	1	      190	 0.1	#_40        
 1943	1	1	      186	 0.1	#_41        
 1944	1	1	      197	 0.1	#_42        
 1945	1	1	     1849	 0.1	#_43        
 1946	1	1	    11851	 0.1	#_44        
 1947	1	1	     7700	 0.1	#_45        
 1948	1	1	     4720	 0.1	#_46        
 1949	1	1	     8422	 0.1	#_47        
